tick,phase,retention,retention_available,retention_count,fcn_gain,fcn_available,local_strength,local_target_strength,minimum_region_duty,app_counter,app_duty,anti_residue,srp_center_mask_gain,srp_board_mask_gain,flat,standard_pattern,hdr_color_pattern,banner_probability,banner_history,screen_saver_off,isp_off,policy_state
1,pattern-knee,false,true,0,0,true,1,512,254,0,255,0,,,false,false,false,0,0,true,false,2
100,pattern-knee,false,true,0,0,true,100,512,230,0,255,0,,,false,false,false,0,0,true,false,2
200,pattern-knee,false,true,0,0,true,200,512,205,0,255,0,,,false,false,false,0,0,true,false,2
300,pattern-knee,false,true,0,0,true,300,512,180,0,255,0,,,false,false,false,0,0,true,false,2
400,pattern-knee,false,true,0,0,true,400,512,155,0,255,9,,,false,false,false,0,0,true,false,2
500,pattern-knee,false,true,0,0,true,500,512,130,0,255,9,,,false,false,false,0,0,true,false,2
600,pattern-knee,false,true,0,0,true,512,512,127,0,255,9,,,false,false,false,0,0,true,false,2
700,pattern-knee,false,true,0,0,true,512,512,127,0,255,9,,,false,false,false,0,0,true,false,2
800,pattern-knee,false,true,0,0,true,512,512,127,0,255,20,,,false,false,false,0,0,true,false,2
900,pattern-knee,false,true,0,0,true,512,512,127,0,255,20,,,false,false,false,0,0,true,false,2
1000,pattern-knee,false,true,0,0,true,512,512,127,0,255,20,,,false,false,false,0,0,true,false,2
1100,pattern-knee,false,true,0,0,true,512,512,127,0,255,20,,,false,false,false,0,0,true,false,2
1101,dark-image,false,true,0,0,true,513,1024,127,0,255,31,,,false,false,false,0,0,true,false,2
1110,dark-image,false,true,0,0,true,522,1024,207,0,255,31,,,false,false,false,0,0,true,false,2
1111,high-menu-lpc,false,true,0,0,true,523,1024,141,0,255,31,,,false,false,false,0,0,true,false,2
1150,high-menu-lpc,false,true,0,0,true,562,1024,133,0,255,31,,,false,false,false,0,0,true,false,2
1151,factory-exclusion,false,true,0,0,true,563,1024,133,0,255,31,,,false,false,false,0,0,true,false,2
1200,factory-exclusion,false,true,0,0,true,612,1024,162,0,255,31,,,false,false,false,0,0,true,false,2
1220,factory-exclusion,false,true,0,0,true,632,1024,159,0,255,31,,,false,false,false,0,0,true,false,2
